topik,pertanyaan,jawaban
Pengetahuan Umum,Apa ibu kota Indonesia? (variasi 13),Ibu kota Indonesia adalah Jakarta.
Sains,Apa fungsi jantung? (variasi 13),Jantung berfungsi memompa darah ke seluruh tubuh.
Teknologi,Apa itu Python? (variasi 13),Python adalah bahasa pemrograman yang populer untuk AI dan data.
Pendidikan,Apa itu ekosistem? (variasi 13),Ekosistem adalah hubungan antara makhluk hidup dan lingkungannya.
Layanan Masyarakat,Bagaimana cara membuat KK? (variasi 13),Pengurusan KK dilakukan di Disdukcapil sesuai persyaratan.
Pengetahuan Umum,Apa itu ASEAN? (variasi 13),ASEAN adalah organisasi negara-negara di Asia Tenggara.
Sains,Apa fungsi paru-paru? (variasi 13),Paru-paru berfungsi untuk pertukaran oksigen dan karbon dioksida.
Teknologi,Apa itu internet? (variasi 13),Internet adalah jaringan komputer global yang saling terhubung.
Pendidikan,Apa itu persamaan linear? (variasi 13),Persamaan linear adalah persamaan matematika berderajat satu.
Layanan Masyarakat,Bagaimana cara mengurus BPJS? (variasi 13),BPJS dapat diurus melalui kantor BPJS atau layanan daring resmi.
Pengetahuan Umum,Apa itu PBB? (variasi 13),PBB adalah organisasi internasional yang menjaga perdamaian dunia.
Sains,Mengapa hujan terjadi? (variasi 13),Hujan terjadi karena penguapan air dan proses kondensasi di atmosfer.
Teknologi,Apa itu machine learning? (variasi 13),Machine learning adalah cabang AI yang mempelajari pola dari data.
Pendidikan,Apa itu kata kerja? (variasi 13),Kata kerja adalah kata yang menunjukkan suatu tindakan.
Layanan Masyarakat,Bagaimana cara mendapatkan KIP? (variasi 13),KIP dapat diajukan melalui sekolah sesuai persyaratan yang berlaku.
Pengetahuan Umum,Siapa presiden pertama Indonesia? (variasi 14),Presiden pertama Indonesia adalah Soekarno.
Sains,Apa itu fotosintesis? (variasi 14),Fotosintesis adalah proses tumbuhan membuat makanan menggunakan cahaya matahari.
Teknologi,Apa itu AI? (variasi 14),AI adalah kecerdasan buatan yang memungkinkan komputer belajar dari data.
Pendidikan,Apa itu pecahan? (variasi 14),Pecahan adalah bilangan yang menyatakan bagian dari keseluruhan.
Layanan Masyarakat,Bagaimana cara membuat KTP? (variasi 14),Pembuatan KTP dilakukan di Disdukcapil dengan membawa dokumen yang diperlukan.
Pengetahuan Umum,Apa ibu kota Indonesia? (variasi 14),Ibu kota Indonesia adalah Jakarta.
Sains,Apa fungsi jantung? (variasi 14),Jantung berfungsi memompa darah ke seluruh tubuh.
Teknologi,Apa itu Python? (variasi 14),Python adalah bahasa pemrograman yang populer untuk AI dan data.
Pendidikan,Apa itu ekosistem? (variasi 14),Ekosistem adalah hubungan antara makhluk hidup dan lingkungannya.
Layanan Masyarakat,Bagaimana cara membuat KK? (variasi 14),Pengurusan KK dilakukan di Disdukcapil sesuai persyaratan.
Pengetahuan Umum,Apa itu ASEAN? (variasi 14),ASEAN adalah organisasi negara-negara di Asia Tenggara.
Sains,Apa fungsi paru-paru? (variasi 14),Paru-paru berfungsi untuk pertukaran oksigen dan karbon dioksida.
Teknologi,Apa itu internet? (variasi 14),Internet adalah jaringan komputer global yang saling terhubung.
Pendidikan,Apa itu persamaan linear? (variasi 14),Persamaan linear adalah persamaan matematika berderajat satu.
Layanan Masyarakat,Bagaimana cara mengurus BPJS? (variasi 14),BPJS dapat diurus melalui kantor BPJS atau layanan daring resmi.
Pengetahuan Umum,Apa itu PBB? (variasi 14),PBB adalah organisasi internasional yang menjaga perdamaian dunia.
Sains,Mengapa hujan terjadi? (variasi 14),Hujan terjadi karena penguapan air dan proses kondensasi di atmosfer.
Teknologi,Apa itu machine learning? (variasi 14),Machine learning adalah cabang AI yang mempelajari pola dari data.
Pendidikan,Apa itu kata kerja? (variasi 14),Kata kerja adalah kata yang menunjukkan suatu tindakan.
Layanan Masyarakat,Bagaimana cara mendapatkan KIP? (variasi 14),KIP dapat diajukan melalui sekolah sesuai persyaratan yang berlaku.
Pengetahuan Umum,Siapa presiden pertama Indonesia? (variasi 15),Presiden pertama Indonesia adalah Soekarno.
Sains,Apa itu fotosintesis? (variasi 15),Fotosintesis adalah proses tumbuhan membuat makanan menggunakan cahaya matahari.
Teknologi,Apa itu AI? (variasi 15),AI adalah kecerdasan buatan yang memungkinkan komputer belajar dari data.
Pendidikan,Apa itu pecahan? (variasi 15),Pecahan adalah bilangan yang menyatakan bagian dari keseluruhan.
Layanan Masyarakat,Bagaimana cara membuat KTP? (variasi 15),Pembuatan KTP dilakukan di Disdukcapil dengan membawa dokumen yang diperlukan.
Pengetahuan Umum,Apa ibu kota Indonesia? (variasi 15),Ibu kota Indonesia adalah Jakarta.
Sains,Apa fungsi jantung? (variasi 15),Jantung berfungsi memompa darah ke seluruh tubuh.
Teknologi,Apa itu Python? (variasi 15),Python adalah bahasa pemrograman yang populer untuk AI dan data.
Pendidikan,Apa itu ekosistem? (variasi 15),Ekosistem adalah hubungan antara makhluk hidup dan lingkungannya.
Layanan Masyarakat,Bagaimana cara membuat KK? (variasi 15),Pengurusan KK dilakukan di Disdukcapil sesuai persyaratan.
Pengetahuan Umum,Apa itu ASEAN? (variasi 15),ASEAN adalah organisasi negara-negara di Asia Tenggara.
Sains,Apa fungsi paru-paru? (variasi 15),Paru-paru berfungsi untuk pertukaran oksigen dan karbon dioksida.
Teknologi,Apa itu internet? (variasi 15),Internet adalah jaringan komputer global yang saling terhubung.
Pendidikan,Apa itu persamaan linear? (variasi 15),Persamaan linear adalah persamaan matematika berderajat satu.
Layanan Masyarakat,Bagaimana cara mengurus BPJS? (variasi 15),BPJS dapat diurus melalui kantor BPJS atau layanan daring resmi.
Pengetahuan Umum,Apa itu PBB? (variasi 15),PBB adalah organisasi internasional yang menjaga perdamaian dunia.
Sains,Mengapa hujan terjadi? (variasi 15),Hujan terjadi karena penguapan air dan proses kondensasi di atmosfer.
Teknologi,Apa itu machine learning? (variasi 15),Machine learning adalah cabang AI yang mempelajari pola dari data.
Pendidikan,Apa itu kata kerja? (variasi 15),Kata kerja adalah kata yang menunjukkan suatu tindakan.
Layanan Masyarakat,Bagaimana cara mendapatkan KIP? (variasi 15),KIP dapat diajukan melalui sekolah sesuai persyaratan yang berlaku.
Pengetahuan Umum,Siapa presiden pertama Indonesia? (variasi 16),Presiden pertama Indonesia adalah Soekarno.
Sains,Apa itu fotosintesis? (variasi 16),Fotosintesis adalah proses tumbuhan membuat makanan menggunakan cahaya matahari.
Teknologi,Apa itu AI? (variasi 16),AI adalah kecerdasan buatan yang memungkinkan komputer belajar dari data.
Pendidikan,Apa itu pecahan? (variasi 16),Pecahan adalah bilangan yang menyatakan bagian dari keseluruhan.
Layanan Masyarakat,Bagaimana cara membuat KTP? (variasi 16),Pembuatan KTP dilakukan di Disdukcapil dengan membawa dokumen yang diperlukan.
Pengetahuan Umum,Apa ibu kota Indonesia? (variasi 16),Ibu kota Indonesia adalah Jakarta.
Sains,Apa fungsi jantung? (variasi 16),Jantung berfungsi memompa darah ke seluruh tubuh.
Teknologi,Apa itu Python? (variasi 16),Python adalah bahasa pemrograman yang populer untuk AI dan data.
Pendidikan,Apa itu ekosistem? (variasi 16),Ekosistem adalah hubungan antara makhluk hidup dan lingkungannya.
Layanan Masyarakat,Bagaimana cara membuat KK? (variasi 16),Pengurusan KK dilakukan di Disdukcapil sesuai persyaratan.
Pengetahuan Umum,Apa itu ASEAN? (variasi 16),ASEAN adalah organisasi negara-negara di Asia Tenggara.
Sains,Apa fungsi paru-paru? (variasi 16),Paru-paru berfungsi untuk pertukaran oksigen dan karbon dioksida.
Teknologi,Apa itu internet? (variasi 16),Internet adalah jaringan komputer global yang saling terhubung.
Pendidikan,Apa itu persamaan linear? (variasi 16),Persamaan linear adalah persamaan matematika berderajat satu.
Layanan Masyarakat,Bagaimana cara mengurus BPJS? (variasi 16),BPJS dapat diurus melalui kantor BPJS atau layanan daring resmi.
Pengetahuan Umum,Apa itu PBB? (variasi 16),PBB adalah organisasi internasional yang menjaga perdamaian dunia.
Sains,Mengapa hujan terjadi? (variasi 16),Hujan terjadi karena penguapan air dan proses kondensasi di atmosfer.
Teknologi,Apa itu machine learning? (variasi 16),Machine learning adalah cabang AI yang mempelajari pola dari data.
Pendidikan,Apa itu kata kerja? (variasi 16),Kata kerja adalah kata yang menunjukkan suatu tindakan.
Layanan Masyarakat,Bagaimana cara mendapatkan KIP? (variasi 16),KIP dapat diajukan melalui sekolah sesuai persyaratan yang berlaku.
Pengetahuan Umum,Siapa presiden pertama Indonesia? (variasi 17),Presiden pertama Indonesia adalah Soekarno.
Sains,Apa itu fotosintesis? (variasi 17),Fotosintesis adalah proses tumbuhan membuat makanan menggunakan cahaya matahari.
Teknologi,Apa itu AI? (variasi 17),AI adalah kecerdasan buatan yang memungkinkan komputer belajar dari data.
Pendidikan,Apa itu pecahan? (variasi 17),Pecahan adalah bilangan yang menyatakan bagian dari keseluruhan.
Layanan Masyarakat,Bagaimana cara membuat KTP? (variasi 17),Pembuatan KTP dilakukan di Disdukcapil dengan membawa dokumen yang diperlukan.
Pengetahuan Umum,Apa ibu kota Indonesia? (variasi 17),Ibu kota Indonesia adalah Jakarta.
Sains,Apa fungsi jantung? (variasi 17),Jantung berfungsi memompa darah ke seluruh tubuh.
Teknologi,Apa itu Python? (variasi 17),Python adalah bahasa pemrograman yang populer untuk AI dan data.
Pendidikan,Apa itu ekosistem? (variasi 17),Ekosistem adalah hubungan antara makhluk hidup dan lingkungannya.
Layanan Masyarakat,Bagaimana cara membuat KK? (variasi 17),Pengurusan KK dilakukan di Disdukcapil sesuai persyaratan.
Pengetahuan Umum,Apa itu ASEAN? (variasi 17),ASEAN adalah organisasi negara-negara di Asia Tenggara.
Sains,Apa fungsi paru-paru? (variasi 17),Paru-paru berfungsi untuk pertukaran oksigen dan karbon dioksida.
Teknologi,Apa itu internet? (variasi 17),Internet adalah jaringan komputer global yang saling terhubung.
Pendidikan,Apa itu persamaan linear? (variasi 17),Persamaan linear adalah persamaan matematika berderajat satu.
Layanan Masyarakat,Bagaimana cara mengurus BPJS? (variasi 17),BPJS dapat diurus melalui kantor BPJS atau layanan daring resmi.
Pengetahuan Umum,Apa itu PBB? (variasi 17),PBB adalah organisasi internasional yang menjaga perdamaian dunia.
Sains,Mengapa hujan terjadi? (variasi 17),Hujan terjadi karena penguapan air dan proses kondensasi di atmosfer.
Teknologi,Apa itu machine learning? (variasi 17),Machine learning adalah cabang AI yang mempelajari pola dari data.
Pendidikan,Apa itu kata kerja? (variasi 17),Kata kerja adalah kata yang menunjukkan suatu tindakan.
Layanan Masyarakat,Bagaimana cara mendapatkan KIP? (variasi 17),KIP dapat diajukan melalui sekolah sesuai persyaratan yang berlaku.
Pengetahuan Umum,Siapa presiden pertama Indonesia? (variasi 18),Presiden pertama Indonesia adalah Soekarno.
Sains,Apa itu fotosintesis? (variasi 18),Fotosintesis adalah proses tumbuhan membuat makanan menggunakan cahaya matahari.
Teknologi,Apa itu AI? (variasi 18),AI adalah kecerdasan buatan yang memungkinkan komputer belajar dari data.
Pendidikan,Apa itu pecahan? (variasi 18),Pecahan adalah bilangan yang menyatakan bagian dari keseluruhan.
Layanan Masyarakat,Bagaimana cara membuat KTP? (variasi 18),Pembuatan KTP dilakukan di Disdukcapil dengan membawa dokumen yang diperlukan.
Pengetahuan Umum,Apa ibu kota Indonesia? (variasi 18),Ibu kota Indonesia adalah Jakarta.
Sains,Apa fungsi jantung? (variasi 18),Jantung berfungsi memompa darah ke seluruh tubuh.
Teknologi,Apa itu Python? (variasi 18),Python adalah bahasa pemrograman yang populer untuk AI dan data.
Pendidikan,Apa itu ekosistem? (variasi 18),Ekosistem adalah hubungan antara makhluk hidup dan lingkungannya.
Layanan Masyarakat,Bagaimana cara membuat KK? (variasi 18),Pengurusan KK dilakukan di Disdukcapil sesuai persyaratan.
Pengetahuan Umum,Apa itu ASEAN? (variasi 18),ASEAN adalah organisasi negara-negara di Asia Tenggara.
Sains,Apa fungsi paru-paru? (variasi 18),Paru-paru berfungsi untuk pertukaran oksigen dan karbon dioksida.
Teknologi,Apa itu internet? (variasi 18),Internet adalah jaringan komputer global yang saling terhubung.
Pendidikan,Apa itu persamaan linear? (variasi 18),Persamaan linear adalah persamaan matematika berderajat satu.
Layanan Masyarakat,Bagaimana cara mengurus BPJS? (variasi 18),BPJS dapat diurus melalui kantor BPJS atau layanan daring resmi.
Pengetahuan Umum,Apa itu PBB? (variasi 18),PBB adalah organisasi internasional yang menjaga perdamaian dunia.
Sains,Mengapa hujan terjadi? (variasi 18),Hujan terjadi karena penguapan air dan proses kondensasi di atmosfer.
Teknologi,Apa itu machine learning? (variasi 18),Machine learning adalah cabang AI yang mempelajari pola dari data.
Pendidikan,Apa itu kata kerja? (variasi 18),Kata kerja adalah kata yang menunjukkan suatu tindakan.
Layanan Masyarakat,Bagaimana cara mendapatkan KIP? (variasi 18),KIP dapat diajukan melalui sekolah sesuai persyaratan yang berlaku.
Pengetahuan Umum,Siapa presiden pertama Indonesia? (variasi 19),Presiden pertama Indonesia adalah Soekarno.
Sains,Apa itu fotosintesis? (variasi 19),Fotosintesis adalah proses tumbuhan membuat makanan menggunakan cahaya matahari.
Teknologi,Apa itu AI? (variasi 19),AI adalah kecerdasan buatan yang memungkinkan komputer belajar dari data.
Pendidikan,Apa itu pecahan? (variasi 19),Pecahan adalah bilangan yang menyatakan bagian dari keseluruhan.
Layanan Masyarakat,Bagaimana cara membuat KTP? (variasi 19),Pembuatan KTP dilakukan di Disdukcapil dengan membawa dokumen yang diperlukan.
Pengetahuan Umum,Apa ibu kota Indonesia? (variasi 19),Ibu kota Indonesia adalah Jakarta.
Sains,Apa fungsi jantung? (variasi 19),Jantung berfungsi memompa darah ke seluruh tubuh.
Teknologi,Apa itu Python? (variasi 19),Python adalah bahasa pemrograman yang populer untuk AI dan data.
Pendidikan,Apa itu ekosistem? (variasi 19),Ekosistem adalah hubungan antara makhluk hidup dan lingkungannya.
Layanan Masyarakat,Bagaimana cara membuat KK? (variasi 19),Pengurusan KK dilakukan di Disdukcapil sesuai persyaratan.
Pengetahuan Umum,Apa itu ASEAN? (variasi 19),ASEAN adalah organisasi negara-negara di Asia Tenggara.
Sains,Apa fungsi paru-paru? (variasi 19),Paru-paru berfungsi untuk pertukaran oksigen dan karbon dioksida.
Teknologi,Apa itu internet? (variasi 19),Internet adalah jaringan komputer global yang saling terhubung.
Pendidikan,Apa itu persamaan linear? (variasi 19),Persamaan linear adalah persamaan matematika berderajat satu.
Layanan Masyarakat,Bagaimana cara mengurus BPJS? (variasi 19),BPJS dapat diurus melalui kantor BPJS atau layanan daring resmi.
Pengetahuan Umum,Apa itu PBB? (variasi 19),PBB adalah organisasi internasional yang menjaga perdamaian dunia.
Sains,Mengapa hujan terjadi? (variasi 19),Hujan terjadi karena penguapan air dan proses kondensasi di atmosfer.
Teknologi,Apa itu machine learning? (variasi 19),Machine learning adalah cabang AI yang mempelajari pola dari data.
Pendidikan,Apa itu kata kerja? (variasi 19),Kata kerja adalah kata yang menunjukkan suatu tindakan.
Layanan Masyarakat,Bagaimana cara mendapatkan KIP? (variasi 19),KIP dapat diajukan melalui sekolah sesuai persyaratan yang berlaku.
Pengetahuan Umum,Siapa presiden pertama Indonesia? (variasi 20),Presiden pertama Indonesia adalah Soekarno.
Sains,Apa itu fotosintesis? (variasi 20),Fotosintesis adalah proses tumbuhan membuat makanan menggunakan cahaya matahari.
Teknologi,Apa itu AI? (variasi 20),AI adalah kecerdasan buatan yang memungkinkan komputer belajar dari data.
Pendidikan,Apa itu pecahan? (variasi 20),Pecahan adalah bilangan yang menyatakan bagian dari keseluruhan.
Layanan Masyarakat,Bagaimana cara membuat KTP? (variasi 20),Pembuatan KTP dilakukan di Disdukcapil dengan membawa dokumen yang diperlukan.
Pengetahuan Umum,Apa ibu kota Indonesia? (variasi 20),Ibu kota Indonesia adalah Jakarta.
Sains,Apa fungsi jantung? (variasi 20),Jantung berfungsi memompa darah ke seluruh tubuh.
Teknologi,Apa itu Python? (variasi 20),Python adalah bahasa pemrograman yang populer untuk AI dan data.
Pendidikan,Apa itu ekosistem? (variasi 20),Ekosistem adalah hubungan antara makhluk hidup dan lingkungannya.
Layanan Masyarakat,Bagaimana cara membuat KK? (variasi 20),Pengurusan KK dilakukan di Disdukcapil sesuai persyaratan.
Pengetahuan Umum,Apa itu ASEAN? (variasi 20),ASEAN adalah organisasi negara-negara di Asia Tenggara.
Sains,Apa fungsi paru-paru? (variasi 20),Paru-paru berfungsi untuk pertukaran oksigen dan karbon dioksida.
Teknologi,Apa itu internet? (variasi 20),Internet adalah jaringan komputer global yang saling terhubung.
Pendidikan,Apa itu persamaan linear? (variasi 20),Persamaan linear adalah persamaan matematika berderajat satu.
Layanan Masyarakat,Bagaimana cara mengurus BPJS? (variasi 20),BPJS dapat diurus melalui kantor BPJS atau layanan daring resmi.
Pengetahuan Umum,Apa itu PBB? (variasi 20),PBB adalah organisasi internasional yang menjaga perdamaian dunia.
Sains,Mengapa hujan terjadi? (variasi 20),Hujan terjadi karena penguapan air dan proses kondensasi di atmosfer.
Teknologi,Apa itu machine learning? (variasi 20),Machine learning adalah cabang AI yang mempelajari pola dari data.
Pendidikan,Apa itu kata kerja? (variasi 20),Kata kerja adalah kata yang menunjukkan suatu tindakan.
Layanan Masyarakat,Bagaimana cara mendapatkan KIP? (variasi 20),KIP dapat diajukan melalui sekolah sesuai persyaratan yang berlaku.
Pengetahuan Umum,Siapa presiden pertama Indonesia? (variasi 21),Presiden pertama Indonesia adalah Soekarno.
Sains,Apa itu fotosintesis? (variasi 21),Fotosintesis adalah proses tumbuhan membuat makanan menggunakan cahaya matahari.
Teknologi,Apa itu AI? (variasi 21),AI adalah kecerdasan buatan yang memungkinkan komputer belajar dari data.
Pendidikan,Apa itu pecahan? (variasi 21),Pecahan adalah bilangan yang menyatakan bagian dari keseluruhan.
Layanan Masyarakat,Bagaimana cara membuat KTP? (variasi 21),Pembuatan KTP dilakukan di Disdukcapil dengan membawa dokumen yang diperlukan.
Pengetahuan Umum,Apa ibu kota Indonesia? (variasi 21),Ibu kota Indonesia adalah Jakarta.
Sains,Apa fungsi jantung? (variasi 21),Jantung berfungsi memompa darah ke seluruh tubuh.
Teknologi,Apa itu Python? (variasi 21),Python adalah bahasa pemrograman yang populer untuk AI dan data.
